[2026-04-20 10:23:25] ALERT | Model=Drowsy | EAR:0.252 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:27] ALERT | Model=Drowsy | EAR:0.256 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:30] ALERT | EAR=0.138<0.22 | EAR:0.138 | Model:Awake | Emotion:sad
[2026-04-20 10:23:32] ALERT | EAR=0.151<0.22 | EAR:0.151 | Model:Awake | Emotion:fear
[2026-04-20 10:23:34] ALERT | EAR=0.198<0.22 | EAR:0.198 | Model:Awake | Emotion:sad
[2026-04-20 10:23:36] ALERT | EAR=0.191<0.22 | EAR:0.191 | Model:Awake | Emotion:sad
[2026-04-20 10:23:41] ALERT | Model=Drowsy | EAR:0.227 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:44] ALERT | Model=Drowsy | EAR:0.251 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:47] ALERT | Model=Drowsy | EAR:0.297 | Model:Drowsy | Emotion:sad
[2026-04-20 10:23:49] ALERT | Model=Drowsy | EAR:0.288 | Model:Drowsy | Emotion:sad
[2026-04-20 10:24:07] ALERT | Model=Drowsy | EAR:0.315 | Model:Drowsy | Emotion:neutral
[2026-04-20 10:24:09] ALERT | Model=Drowsy | EAR:0.353 | Model:Drowsy | Emotion:neutral
[2026-04-20 10:24:16] ALERT | EAR=0.195<0.22 | EAR:0.195 | Model:Awake | Emotion:sad
[2026-04-20 10:34:21] ALERT | Model=Drowsy | EAR:0.266 | Model:Drowsy | Emotion:neutral
[2026-04-20 10:34:35] ALERT | EAR=0.154<0.22 | EAR:0.154 | Model:Awake | Emotion:sad
[2026-04-20 10:34:37] ALERT | EAR=0.159<0.22 | EAR:0.159 | Model:Awake | Emotion:sad
[2026-04-20 10:34:47] ALERT | Model=Drowsy | EAR:0.230 | Model:Drowsy | Emotion:sad
[2026-04-20 10:34:49] ALERT | Model=Drowsy | EAR:0.249 | Model:Drowsy | Emotion:sad
[2026-04-20 10:34:51] ALERT | EAR=0.193<0.22 | EAR:0.193 | Model:Awake | Emotion:sad
[2026-04-20 10:34:56] ALERT | Model=Drowsy | EAR:0.138 | Model:Drowsy | Emotion:sad
[2026-04-20 10:34:58] ALERT | Model=Drowsy | EAR:0.297 | Model:Drowsy | Emotion:sad
[2026-04-20 10:35:02] ALERT | EAR=0.204<0.22 | EAR:0.204 | Model:Awake | Emotion:fear
[2026-04-20 10:35:08] ALERT | EAR=0.212<0.22 | EAR:0.212 | Model:Awake | Emotion:fear
[2026-04-20 10:35:47] ALERT | EAR=0.194<0.22 | EAR:0.194 | Model:Awake | Emotion:sad
[2026-04-20 10:36:09] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-20 10:36:21] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:23] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:26] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:28] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:32] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:34] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:38] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:40] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:42] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:44] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:46] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:48] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:50] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:53] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:55] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:36:59] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:01] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:05] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:07] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:11] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:13] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:18] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:20] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:23] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:25] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:27] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:38] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:40] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:47] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:49] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-20 10:37:51] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
